Date,Pluviométrie
2025-07-29,2.0
2025-07-30,12.0
2025-07-31,15.2
2025-08-01,8.7
2025-08-02,19.3
2025-08-03,4.1
2025-08-04,0.8
2025-08-05,12.4
2025-08-06,7.9
2025-08-07,16.5
2025-08-08,3.2
2025-08-09,9.6
2025-08-10,18.4
2025-08-11,5.7
2025-08-12,13.9
2025-08-13,2.3
2025-08-14,10.8
2025-08-15,17.1
2025-08-16,6.4
2025-08-17,14.7
2025-08-18,1.5
2025-08-19,11.3
2025-08-20,19.8
2025-08-21,7.2
2025-08-22,15.6
2025-08-23,4.9
2025-08-24,13.1
2025-08-25,8.5
2025-08-26,16.9
2025-08-27,3.7
2025-08-28,12.8
2025-08-29,9.4
2025-08-30,5
